+2 MORPH AIRFOIL TT
1.0 0.0
0.98987 0.00221
0.98226 0.00328
0.97462 0.00317
0.96886 0.00528
0.95959 0.00770
0.95029 0.00847
0.94099 0.00938
0.93169 0.01047
0.92240 0.01178
0.91311 0.01308
0.90382 0.01445
0.89453 0.01582
0.88523 0.01710
0.87594 0.01839
0.86665 0.01983
0.85737 0.02158
0.84808 0.02306
0.83879 0.02448
0.82949 0.02552
0.82019 0.02639
0.81090 0.02772
0.80161 0.02915
0.79232 0.03034
0.78301 0.03106
0.77370 0.03142
0.76440 0.03236
0.75512 0.03414
0.74584 0.03637
0.73657 0.03867
0.72728 0.03986
0.71798 0.04095
0.70867 0.04150
0.69936 0.04171
0.69004 0.04177
0.68073 0.04211
0.67141 0.04242
0.66211 0.04324
0.65280 0.04354
0.64348 0.04358
0.63416 0.04357
0.62484 0.04365
0.61543 0.04397
0.60621 0.04429
0.59691 0.04503
0.58760 0.04562
0.57829 0.04618
0.56899 0.04686
0.55969 0.04763
0.55038 0.04822
0.54107 0.04873
0.53176 0.04938
0.52245 0.04982
0.51314 0.05026
0.50383 0.05084
0.49452 0.05123
0.48521 0.05169
0.47590 0.05219
0.46659 0.05260
0.45728 0.05313
0.44797 0.05345
0.43866 0.05369
0.42934 0.05400
0.42003 0.05434
0.41072 0.05471
0.40141 0.05508
0.39209 0.05533
0.38278 0.05565
0.37346 0.05588
0.36415 0.05604
0.35483 0.05616
0.34551 0.05628
0.33620 0.05640
0.32688 0.05644
0.31756 0.05652
0.30824 0.05642
0.29892 0.05642
0.28959 0.05631
0.28027 0.05602
0.27095 0.05589
0.26162 0.05576
0.25230 0.05551
0.24297 0.05525
0.23365 0.05489
0.22431 0.05438
0.21498 0.05386
0.20565 0.05335
0.19632 0.05279
0.18699 0.05217
0.17765 0.05142
0.16831 0.05053
0.15898 0.04968
0.14964 0.04881
0.14030 0.04786
0.13095 0.04664
0.12160 0.04533
0.11226 0.04413
0.10291 0.04278
0.09355 0.04103
0.08419 0.03917
0.07484 0.03738
0.06548 0.03543
0.05610 0.03299
0.04673 0.03039
0.03734 0.02727
0.02795 0.02386
0.01854 0.01944
0.00909 0.01341
0.00399 0.00829
0.00186 0.00024
0.0 0.0
0.00745 -0.01296
0.01664 -0.01928
0.02586 -0.02416
0.03510 -0.02785
0.04435 -0.03085
0.05361 -0.03377
0.06289 -0.03589
0.07216 -0.03801
0.08144 -0.03978
0.09073 -0.04152
0.10002 -0.04284
0.10931 -0.04441
0.11860 -0.04555
0.12790 -0.04655
0.13720 -0.04730
0.14650 -0.04840
0.15580 -0.04930
0.16510 -0.05039
0.17440 -0.05116
0.18372 -0.05126
0.19303 -0.05178
0.20233 -0.05244
0.21164 -0.05287
0.22096 -0.05331
0.23027 -0.05368
0.23958 -0.05395
0.24890 -0.05413
0.25821 -0.05428
0.26753 -0.05435
0.27685 -0.05445
0.28617 -0.05458
0.29549 -0.05447
0.30482 -0.05412
0.31414 -0.05397
0.32346 -0.05391
0.33278 -0.05383
0.34211 -0.05369
0.35143 -0.05339
0.36076 -0.05322
0.37008 -0.05307
0.37941 -0.05266
0.38873 -0.05244
0.39806 -0.05204
0.40739 -0.05155
0.41672 -0.05126
0.42604 -0.05095
0.43537 -0.05051
0.44470 -0.05000
0.45403 -0.04940
0.46337 -0.04874
0.47270 -0.04814
0.48203 -0.04753
0.49136 -0.04705
0.50070 -0.04646
0.51003 -0.04589
0.51936 -0.04535
0.52869 -0.04464
0.53803 -0.04388
0.54736 -0.04323
0.55670 -0.04251
0.56603 -0.04187
0.57537 -0.04108
0.58470 -0.04038
0.59404 -0.03964
0.60337 -0.03910
0.61174 -0.03811
0.62204 -0.03775
0.63138 -0.03668
0.64071 -0.03610
0.65005 -0.03512
0.65939 -0.03425
0.66874 -0.03293
0.67807 -0.03236
0.68740 -0.03189
0.69674 -0.03107
0.70608 -0.03030
0.71541 -0.02951
0.72475 -0.02879
0.73409 -0.02791
0.74342 -0.02712
0.75276 -0.02632
0.76210 -0.02551
0.77143 -0.02468
0.78077 -0.02380
0.79011 -0.02294
0.79945 -0.02209
0.80879 -0.02127
0.81812 -0.02044
0.82746 -0.01960
0.83680 -0.01873
0.84614 -0.01787
0.85548 -0.01691
0.86482 -0.01600
0.87415 -0.01517
0.88349 -0.01425
0.89283 -0.01335
0.90217 -0.01244
0.91151 -0.01153
0.92085 -0.01051
0.93019 -0.00963
0.93953 -0.00883
0.94886 -0.00808
0.95820 -0.00731
0.96754 -0.00615
0.97574 -0.00387
0.98341 -0.00259
0.99234 -0.00128
1.0 0.0
